state,amine,label,filepath,filename,n_atoms,n_cat_atoms,n_amine_atoms,n_extra_atoms
TS3A,DADP,TS3A_DADP,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_dadp_limcat_b3lypd3bs1.xyz,TS23_dadp_limcat_b3lypd3bs1.xyz,89,63,26,0
TS3A,DBUA,TS3A_DBUA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_dbua_limcat_b3lypd3bs1.xyz,TS23_dbua_limcat_b3lypd3bs1.xyz,91,63,28,0
TS3A,DEA,TS3A_DEA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_dea_limcat_b3lypd3bs1.xyz,TS23_dea_limcat_b3lypd3bs1.xyz,81,63,18,0
TS3A,DEGE,TS3A_DEGE,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_dege_limcat_b3lypd3bs1.xyz,TS23_dege_limcat_b3lypd3bs1.xyz,102,63,39,0
TS3A,DEPA,TS3A_DEPA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_depa_limcat_b3lypd3bs1.xyz,TS23_depa_limcat_b3lypd3bs1.xyz,90,63,27,0
TS3A,DETA,TS3A_DETA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_deta_limcat_b3lypd3bs1.xyz,TS23_deta_limcat_b3lypd3bs1.xyz,83,63,20,0
TS3A,DMDP,TS3A_DMDP,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_dmdp_limcat_b3lypd3bs1.xyz,TS23_dmdp_limcat_b3lypd3bs1.xyz,95,63,32,0
TS3A,DMEDA,TS3A_DMEDA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_dmeda_limcat_b3lypd3bs1.xyz,TS23_dmeda_limcat_b3lypd3bs1.xyz,81,63,18,0
TS3A,EAE,TS3A_EAE,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_eae_limcat_b3lypd3bs1.xyz,TS23_eae_limcat_b3lypd3bs1.xyz,83,63,20,0
TS3A,EDA,TS3A_EDA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_eda_limcat_b3lypd3bs1.xyz,TS23_eda_limcat_b3lypd3bs1.xyz,75,63,12,0
TS3A,INDO,TS3A_INDO,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_indo_limcat_b3lypd3bs1.xyz,TS23_indo_limcat_b3lypd3bs1.xyz,81,63,18,0
TS3A,ISBZ,TS3A_ISBZ,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_isbz_limcat_b3lypd3bs1.xyz,TS23_isbz_limcat_b3lypd3bs1.xyz,89,63,26,0
TS3A,MEPI,TS3A_MEPI,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_mepi_limcat_b3lypd3bs1.xyz,TS23_mepi_limcat_b3lypd3bs1.xyz,82,63,19,0
TS3A,METOX,TS3A_METOX,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_metox_limcat_b3lypd3bs1.xyz,TS23_metox_limcat_b3lypd3bs1.xyz,81,63,18,0
TS3A,MOR,TS3A_MOR,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_mor_limcat_b3lypd3bs1.xyz,TS23_mor_limcat_b3lypd3bs1.xyz,78,63,15,0
TS3A,MTL,TS3A_MTL,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_mtl_limcat_b3lypd3bs1.xyz,TS23_mtl_limcat_b3lypd3bs1.xyz,80,63,17,0
TS3A,NMA,TS3A_NMA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_nma_limcat_b3lypd3bs1.xyz,TS23_nma_limcat_b3lypd3bs1.xyz,80,63,17,0
TS3A,OCTA,TS3A_OCTA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_octa_limcat_b3lypd3bs1.xyz,TS23_octa_limcat_b3lypd3bs1.xyz,85,63,22,0
TS3A,OTL,TS3A_OTL,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_otl_limcat_b3lypd3bs1.xyz,TS23_otl_limcat_b3lypd3bs1.xyz,80,63,17,0
TS3A,PIP,TS3A_PIP,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_pip_limcat_b3lypd3bs1.xyz,TS23_pip_limcat_b3lypd3bs1.xyz,80,63,17,0
TS3A,THQ,TS3A_THQ,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_thq_limcat_b3lypd3bs1.xyz,TS23_thq_limcat_b3lypd3bs1.xyz,84,63,21,0
TS5A,AMP,TS5A_AMP,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS5A/TS_opt_amp_5_limcat_b3lypd3bs1.xyz,TS_opt_amp_5_limcat_b3lypd3bs1.xyz,87,63,20,4
TS5A,BEMT,TS5A_BEMT,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS5A/TS_opt_bemt_5_limcat_b3lypd3bs1.xyz,TS_opt_bemt_5_limcat_b3lypd3bs1.xyz,88,63,21,4
TS5A,BENZ,TS5A_BENZ,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS5A/TS_opt_benz_5_limcat_b3lypd3bs1.xyz,TS_opt_benz_5_limcat_b3lypd3bs1.xyz,98,63,31,4
TS5A,BMAE,TS5A_BMAE,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS5A/TS_opt_bmae_5_limcat_b3lypd3bs1.xyz,TS_opt_bmae_5_limcat_b3lypd3bs1.xyz,86,63,19,4
TS5A,BOX,TS5A_BOX,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS5A/TS_opt_box_5_limcat_b3lypd3bs1.xyz,TS_opt_box_5_limcat_b3lypd3bs1.xyz,92,63,25,4
TS5A,DADP,TS5A_DADP,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS5A/TS_opt_dadp_5_limcat_b3lypd3bs1.xyz,TS_opt_dadp_5_limcat_b3lypd3bs1.xyz,94,63,27,4
TS5A,DBUA,TS5A_DBUA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS5A/TS_opt_dbua_5_limcat_b3lypd3bs1.xyz,TS_opt_dbua_5_limcat_b3lypd3bs1.xyz,96,63,29,4
TS5A,DEA,TS5A_DEA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS5A/TS_opt_dea_5_limcat_b3lypd3bs1.xyz,TS_opt_dea_5_limcat_b3lypd3bs1.xyz,86,63,19,4
TS5A,DEGE,TS5A_DEGE,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS5A/TS_opt_dege_5_limcat_b3lypd3bs1.xyz,TS_opt_dege_5_limcat_b3lypd3bs1.xyz,107,63,40,4
TS5A,DEPA,TS5A_DEPA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS5A/TS_opt_depa_5_limcat_b3lypd3bs1.xyz,TS_opt_depa_5_limcat_b3lypd3bs1.xyz,95,63,28,4
TS5A,DETA,TS5A_DETA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS5A/TS_opt_deta_5_limcat_b3lypd3bs1.xyz,TS_opt_deta_5_limcat_b3lypd3bs1.xyz,88,63,21,4
TS5A,DMDP,TS5A_DMDP,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS5A/TS_opt_dmdp_5_limcat_b3lypd3bs1_cfc.xyz,TS_opt_dmdp_5_limcat_b3lypd3bs1_cfc.xyz,100,63,33,4
