label,state,amine,Ru_SASA_full,Ru_SASA_bare,Ru_SASA_cat_only,Ru_shield_amine,Ru_shield_cat,Ru_access_frac,Vbur_total_R3.0,Vfree_total_R3.0,Vfree_abs_R3.0,Vbur_total_R3.5,Vfree_total_R3.5,Vfree_abs_R3.5,Vbur_total_R4.5,Vfree_total_R4.5,Vfree_abs_R4.5,amine_N_index,Ru_N_distance,Vfree_amine_side,Vfree_opposite_side,Vfree_amine_frac,Vfree_opposite_frac,Vfree_asymmetry,H2_approach_frac,H2_min_clearance,H2_n_accessible,ligand_max_gap_deg,ligand_mean_angle_deg
H1_BMAE,H1,BMAE,0.0,120.76282160399161,3.0599419533564802,3.0599419533564802,117.70287965063513,0.0,95.7548048271752,4.245195172824793,4.801202628480439,90.18006895266493,9.819931047335075,17.636044283856165,79.29999565821466,20.700004341785345,79.01264260685701,64,3.9122703797740006,16.2945,23.142374999999998,0.18992171826442708,0.27007759265823783,0.08015587439381075,0.0045,3.6281979303206033,9,175.0766946850377,102.62336174324157
H1_BOX,H1,BOX,0.0,120.76282160399161,5.999886183051915,5.999886183051915,114.7629354209397,0.0,96.49694576877235,3.503054231227651,3.9618609976625123,91.11419120387626,8.88580879612374,15.95841321806887,80.23103725251823,19.768962747481766,75.45882418594351,73,3.7034485734444864,16.871624999999998,22.190624999999997,0.19669486523706473,0.25890923410120104,0.06221436886413631,0.004,3.7016931395361903,8,173.56209048343493,102.72352826647578
H1_DADP,H1,DADP,0.0,120.76282160399161,5.659892632678981,5.659892632678981,115.10292897131264,0.0,95.8302294398093,4.169770560190699,4.715899401258042,90.52017331345509,9.47982668654491,17.025235965639354,80.11869355679056,19.88130644320944,75.88764401289137,87,3.8993282797361393,16.240499999999997,22.987124999999995,0.18948611931482576,0.2679913436946685,0.07850522437984273,0.005,3.676825494602142,10,175.24415338485449,102.68280544686634
H1_DBUA,H1,DBUA,0.0,120.76282160399161,5.109903065899222,5.109903065899222,115.6529185380924,0.0,97.09289332538737,2.907106674612635,3.2878601899793694,91.93067461796497,8.069325382035032,14.49205489248672,80.59656130600902,19.403438693990978,74.06360605333765,64,3.6598041971246222,16.135875,21.417749999999998,0.18829506518057582,0.24965576930642436,0.06136070412584854,0.002,3.7654557154271475,4,172.44804714966384,102.7573964608943
H1_DEA,H1,DEA,0.0,120.76282160399161,4.469915206373683,4.469915206373683,116.29290639761793,0.0,97.32382300357568,2.676176996424317,3.026684877002154,92.28999720462168,7.7100027953783155,13.84673172067204,80.94770319555401,19.052296804445987,72.72328514495467,64,3.639203460579114,15.366374999999998,21.593249999999998,0.17927314249714532,0.25176090977058985,0.07248776727344453,0.0,,0,171.69892946743,102.7866815324634
H1_DEGE,H1,DEGE,0.0,120.76282160399161,4.789909136136445,4.789909136136445,115.97291246785517,0.0,95.43820768772348,4.561792312276523,5.159265557562122,90.05194744688781,9.948052553112191,17.866143307841952,80.02778742618965,19.972212573810353,76.23463590184679,73,4.110527550738226,16.84125,23.371874999999996,0.19641802794725446,0.2725841369809092,0.07616610903365476,0.0045,3.7166896090214814,9,175.64363838820063,102.13729207189381
H1_DEPA,H1,DEPA,0.0,120.76282160399161,2.0599609228478197,2.0599609228478197,118.70286068114379,0.0,95.34229737783076,4.657702622169239,5.267737562548618,89.69320723071189,10.306792769288109,18.510420575002172,79.15725946509204,20.84274053490796,79.55747166235119,77,3.921642215369219,15.703874999999998,24.586874999999996,0.18308085776116467,0.2868674936011026,0.10378663583993791,0.0045,3.6281979303206033,9,175.71253045698435,102.77356887495658
H1_DETA,H1,DETA,0.0,120.76282160399161,2.9699436606107,2.9699436606107,117.79287794338092,0.0,96.16079410011919,3.8392058998808096,4.3420395782463,90.91734998136415,9.082650018635846,16.311928991283395,80.4410711184439,19.5589288815561,74.65711755295393,70,3.8672826925327044,14.488874999999998,23.354999999999997,0.16894258392034947,0.27245167132564274,0.10350908740529327,0.004,3.7285153122449217,8,174.80599708743298,102.64125284942688
H1_DMDP,H1,DMDP,0.0,120.76282160399161,4.719910464000836,4.719910464000836,116.04291113999078,0.0,96.09095649582838,3.9090435041716205,4.421024047896651,90.80728196049198,9.192718039508023,16.50960497098029,80.37350208405697,19.626497915943034,74.91503092713276,93,4.0756222191584435,16.257374999999996,22.528124999999996,0.1895859571788413,0.2627745846783718,0.07318862749953048,0.0035,3.7166896090214814,7,175.1627163782475,102.13755054608836
H1_DMEDA,H1,DMEDA,0.0,120.76282160399161,4.879907428882225,4.879907428882225,115.88291417510939,0.0,95.31436233611443,4.685637663885572,5.299331350408764,90.6465477077898,9.353452292210207,16.798274655617007,81.49639631816603,18.503603681833965,70.62890425102074,70,4.131404711850196,16.628624999999996,23.385374999999996,0.19375516142986354,0.272999487805839,0.07924432637597545,0.003,3.613519113812457,6,176.6779328677617,102.0663989466002
H1_EAE,H1,EAE,0.0,120.76282160399161,5.229900789560252,5.229900789560252,115.53292081443136,0.0,96.92248957091776,3.0775104290822384,3.4805822959262684,91.74431606410735,8.255683935892648,14.826744381920577,80.62342610281348,19.376573897186518,73.9610621816762,64,3.657863951980445,16.692749999999997,21.522374999999997,0.19476274857255366,0.25091481408616956,0.0561520655136159,0.0015,3.7578632990710137,3,172.16385223310402,102.71074425641976
