label,state,amine,SASA_total,SASA_amine,SASA_catalyst,amine_N_index,Ru_N_distance,SASA_amine_N,SASA_N_ratio,Sterimol_L,Sterimol_B1,Sterimol_B5
4A_EDA,4A,EDA,785.7112846389944,82.58971935529854,665.2129127572825,64,2.336154912093802,0.0,0.0,6.709642721841156,3.1991465634263743,10.118299340539428
4A_INDO,4A,INDO,797.8224156916353,135.04070286067875,625.4129466274105,66,2.4738218861510624,0.0,0.0,7.44717289050533,3.3295227864718395,10.299291212687498
4A_ISBZ,4A,ISBZ,835.1229563757003,182.1111356553809,620.0030263989917,66,2.636618356797206,0.0,0.0,5.4857739532619245,3.899473004800111,10.355560256062644
4A_MEPI,4A,MEPI,819.3420179879851,130.65020764512903,653.6730978158256,77,2.4061486004401305,0.0,0.0,7.849237443904143,3.364367298305332,10.149382909267912
4A_METOX,4A,METOX,864.7500721407124,161.61847712934198,665.3029357292019,70,2.3378529034565028,0.0,0.0,8.705940744703861,3.8080809533493323,10.116208279934332
4A_MOR,4A,MOR,789.7410524244237,100.1892435090686,654.3031057999768,76,2.405237648287379,0.0,0.0,7.846532495838891,3.1807959247237836,10.154791388380293
4A_MTL,4A,MTL,806.9823840981336,125.38084111707705,638.6728840530866,64,2.381501666493013,0.0,0.0,6.816778287070062,3.154476250817459,10.066129077189782
4A_NMA,4A,NMA,795.7828623927298,123.26097382250994,630.393279138081,64,2.6468318985912194,0.0,0.0,6.855521941880124,2.5428080858411874,10.439896437679938
4A_OCTA,4A,OCTA,850.4519989619347,167.1802375196367,639.8031835397275,70,2.3746437378478484,0.0,0.0,9.122498572999103,3.086134466469565,10.09120017558863
4A_OTL,4A,OTL,799.5423037615825,128.66080028910642,628.1729784436139,64,2.3898484600702194,0.0,0.0,7.321383680089619,3.428423078895047,10.24089967696936
4A_PIP,4A,PIP,797.9819233764931,110.67011493947925,652.8530788071478,76,2.408416805060951,0.0,0.0,7.829051394241513,3.1821054401733884,10.151604157861685
4A_THQ,4A,THQ,804.4722697601816,148.5906254221673,620.9228364898472,66,2.672510981764902,0.0,0.0,7.622556975304492,3.1772958519648036,10.437764557142934
5A_AMP,5A,AMP,863.4624657173589,173.2100950747955,663.0631693788988,80,4.722816464279445,1.9999787906265702,0.011546548656779735,6.651533870532589,3.1526301939654657,11.738283026303481
5A_BEMT,5A,BEMT,895.5140609132815,206.85163865988534,668.3030492310882,67,4.562655123127322,0.0,0.0,9.977234328887196,3.2057848837929876,11.006784639762515
5A_BENZ,5A,BENZ,897.8741646079379,255.65204556086152,618.1128445269952,67,4.626851772544697,0.0,0.0,10.296071023899048,3.741187352622835,11.074018967818686
5A_BMAE,5A,BMAE,860.7827549086722,172.00033739802677,663.7531133143503,64,4.591601998604626,0.0,0.0,10.08947437386578,2.6714537885840253,10.975307865567915
5A_BOX,5A,BOX,894.0524336646292,240.7397754649488,633.1830589294524,73,5.114097265930714,0.8199913041568931,0.003406131382208098,11.113936130591295,2.078166027537888,9.1363714984772
5A_DADP,5A,DADP,949.5525310168747,278.28957783929513,648.8533486925182,87,5.614080885902607,7.929915904834337,0.028495195423429234,12.456110901087326,3.736121619497493,11.564355351542808
5A_DBUA,5A,DBUA,931.3834329806399,264.3205570020822,650.5631744802035,64,5.121921093913299,0.009999893953134916,3.783244885132465e-05,12.009775083965069,2.631663671479423,9.521384647035521
5A_DEA,5A,DEA,817.6695863590022,151.63759809835162,641.3626384328385,64,4.587682776045223,0.25999724278145925,0.0017145961558480104,9.31575790896775,2.2541634992367348,10.874958911719528
5A_DEGE,5A,DEGE,1159.5514890040488,459.76836484883376,680.7935186787674,73,5.439340658770417,0.7299922585787031,0.0015877392060645922,12.689798761783406,3.5389439107329697,17.835636628598603
5A_DEPA,5A,DEPA,909.8129745362011,236.58046169546287,644.3031329916414,77,5.651362339670055,5.609940507707522,0.023712611208481334,12.881210047374537,2.8303001032699324,9.562511620436025
5A_DETA,5A,DETA,840.5616897439588,175.83958874452406,635.32282979108,70,4.991401350222199,7.799917283443607,0.04435814107126948,11.137067777517855,1.7,10.172300771385295
5A_DMDP,5A,DMDP,976.0732613295429,318.17033735459785,635.053375589355,93,5.346900776987076,1.739981547845111,0.005468710761386653,12.295517477249582,2.6315831937537277,12.297391667309434
5A_DMEDA,5A,DMEDA,839.6627768528084,162.13033569046092,650.2830849764794,70,5.14329188691445,7.069925024864916,0.04360642932586539,11.703529087681007,2.0640257127882937,9.490527512017582
