,LASSO,RF,mean_rank
E_SE_frag1_TS3A,0.0,0.00017087398705037068,8.543699352518534e-05
"E_pwx(1,2)_2A",0.0,0.00015969809468859602,7.984904734429801e-05
E_SE_frag1_2A,0.0,0.0001433010829802333,7.165054149011665e-05
E_DEF_frag1_H1,0.0,0.00011795547145726219,5.8977735728631096e-05
E_core_4A,0.0,7.642650713503731e-05,3.8213253567518655e-05
E_core_TS5A,0.0,7.060043378879129e-05,3.530021689439564e-05
E_int_H3,0.0,6.960738374955577e-05,3.4803691874777886e-05
Ex_NLMO(1)_2A,0.0,6.933034280172455e-05,3.4665171400862275e-05
E_SE_frag1_TS5A,0.0,4.526006620951541e-05,2.2630033104757707e-05
E_SE_frag1_H3,0.0,3.2013353056501176e-05,1.6006676528250588e-05
E_DEF_frag1_3A,0.0,2.2006038432172398e-05,1.1003019216086199e-05
E_CT_H1,0.0,2.391678794588804e-17,1.195839397294402e-17
E_DEF_frag1_4A,0.0,0.0,0.0
E_XC_TSH2,0.0,-2.391678794588804e-17,-1.195839397294402e-17
E_DEF_frag1_H3,0.0,-3.5875181918832053e-17,-1.7937590959416027e-17
2A,0.0,-4.1545713960658733e-07,-2.0772856980329367e-07
E_int_TS3A,0.0,-1.0917353147244777e-05,-5.458676573622388e-06
E_elec_4A,0.0,-1.186164583805947e-05,-5.930822919029735e-06
SUME_pwx_TS3A,0.0,-2.101993774023733e-05,-1.0509968870118664e-05
"E_pwx(1,2)_5A",0.0,-2.6884325436669873e-05,-1.3442162718334937e-05
E_DEF_frag1_2A,0.0,-2.968035930447399e-05,-1.4840179652236996e-05
E2_int3A,0.0,-3.7016966318301004e-05,-1.8508483159150502e-05
E_XC_TS3A,0.0,-0.00010590857289455558,-5.295428644727779e-05
E_DEF_frag2_4A,0.0,-0.00015939287727162208,-7.969643863581104e-05
E_SE_frag2_5A,0.0,-0.0001678073975239057,-8.390369876195285e-05
TS3A,0.0,-0.00022978638029485203,-0.00011489319014742602
SUMEx_NLMO_TS3A,0.0,-0.00027847952891531464,-0.00013923976445765732
"E_pwx(1,2)_4A",0.0,-0.00033405133488616657,-0.00016702566744308329
Ex_NLMO(1)_4A,0.0,-0.0008318944697547182,-0.0004159472348773591
E_pwx(1)_4A,0.0,-0.0008700514237422216,-0.0004350257118711108
